Roll,Mid,End,Total,Mean,SD,Z,G
1,0.0,0,0.0,40.5155172414,14.8069828788,-2.73624394469,0
2,18.0,24,42.0,40.5155172414,14.8069828788,0.100255586892,7
3,28.5,38,66.5,40.5155172414,14.8069828788,1.75488031365,10
4,16.5,22,38.5,40.5155172414,14.8069828788,-0.136119374073,6
5,9.75,13,22.75,40.5155172414,14.8069828788,-1.19980669842,4
6,19.5,26,45.5,40.5155172414,14.8069828788,0.336630547858,7
7,4.5,6,10.5,40.5155172414,14.8069828788,-2.0271190618,0
8,19.5,26,45.5,40.5155172414,14.8069828788,0.336630547858,7
9,16.5,22,38.5,40.5155172414,14.8069828788,-0.136119374073,6
10,23.25,31,54.25,40.5155172414,14.8069828788,0.927567950272,8
11,8.25,11,19.25,40.5155172414,14.8069828788,-1.43618165938,4
12,7.5,10,17.5,40.5155172414,14.8069828788,-1.55436913987,0
13,12.0,16,28.0,40.5155172414,14.8069828788,-0.84524425697,5
14,9.0,12,21.0,40.5155172414,14.8069828788,-1.3179941789,4
15,24.75,33,57.75,40.5155172414,14.8069828788,1.16394291124,9
16,24.0,32,56.0,40.5155172414,14.8069828788,1.04575543075,9
17,14.25,19,33.25,40.5155172414,14.8069828788,-0.490681815522,6
18,9.75,13,22.75,40.5155172414,14.8069828788,-1.19980669842,4
19,20.25,27,47.25,40.5155172414,14.8069828788,0.454818028341,7
20,4.5,6,10.5,40.5155172414,14.8069828788,-2.0271190618,0
21,9.0,12,21.0,40.5155172414,14.8069828788,-1.3179941789,4
22,18.75,25,43.75,40.5155172414,14.8069828788,0.218443067375,7
23,18.75,25,43.75,40.5155172414,14.8069828788,0.218443067375,7
24,18.75,25,43.75,40.5155172414,14.8069828788,0.218443067375,7
25,18.75,25,43.75,40.5155172414,14.8069828788,0.218443067375,7
26,28.5,38,66.5,40.5155172414,14.8069828788,1.75488031365,10
27,10.5,14,24.5,40.5155172414,14.8069828788,-1.08161921794,4
28,27.75,37,64.75,40.5155172414,14.8069828788,1.63669283317,10
