Roll,Mid,End,Total,Mean,SD,Z,G
BT/08,5.5,11,16.5,46.2244897959,10.8679744956,-2.73505332644,0
BT/15,16.0,32,48.0,46.2244897959,10.8679744956,0.163370847511,7
CO/17,14.0,28,42.0,46.2244897959,10.8679744956,-0.388709947527,6
CO/57,3.0,6,9.0,46.2244897959,10.8679744956,-3.42515432024,0
CO/77,17.5,35,52.5,46.2244897959,10.8679744956,0.57743144379,8
CO/87,16.0,32,48.0,46.2244897959,10.8679744956,0.163370847511,7
CO/102,19.0,38,57.0,46.2244897959,10.8679744956,0.991492040068,8
CO/110,13.5,27,40.5,46.2244897959,10.8679744956,-0.526730146286,5
CO/140,19.0,36,55.0,46.2244897959,10.8679744956,0.807465108389,8
CO/141,16.0,32,48.0,46.2244897959,10.8679744956,0.163370847511,7
CO/143,9.0,35,44.0,46.2244897959,10.8679744956,-0.204683015847,6
EC/04,19.5,39,58.5,46.2244897959,10.8679744956,1.12951223883,9
EC/18,18.0,36,54.0,46.2244897959,10.8679744956,0.715451642549,8
EC/20,12.5,25,37.5,46.2244897959,10.8679744956,-0.802770543805,5
EC/22,15.0,30,45.0,46.2244897959,10.8679744956,-0.112669550008,6
EC/33,15.5,31,46.5,46.2244897959,10.8679744956,0.0253506487517,7
EC/38,13.0,26,39.0,46.2244897959,10.8679744956,-0.664750345046,5
EC/52,16.5,33,49.5,46.2244897959,10.8679744956,0.301391046271,7
EC/58,15.0,30,45.0,46.2244897959,10.8679744956,-0.112669550008,6
EC/91,16.5,33,49.5,46.2244897959,10.8679744956,0.301391046271,7
EC/100,15.5,31,46.5,46.2244897959,10.8679744956,0.0253506487517,7
EC/121,17.0,34,51.0,46.2244897959,10.8679744956,0.43941124503,7
EC/123,12.5,25,37.5,46.2244897959,10.8679744956,-0.802770543805,5
EC/132,13.5,27,40.5,46.2244897959,10.8679744956,-0.526730146286,5
EC/133,16.5,33,49.5,46.2244897959,10.8679744956,0.301391046271,7
EC/134,16.0,32,48.0,46.2244897959,10.8679744956,0.163370847511,7
EC/135,19.5,39,58.5,46.2244897959,10.8679744956,1.12951223883,9
EC/139,17.5,35,52.5,46.2244897959,10.8679744956,0.57743144379,8
EC/145,19.5,39,58.5,46.2244897959,10.8679744956,1.12951223883,9
EC/148,19.0,38,57.0,46.2244897959,10.8679744956,0.991492040068,8
EC/150,16.5,33,49.5,46.2244897959,10.8679744956,0.301391046271,7
EC/151,19.0,38,57.0,46.2244897959,10.8679744956,0.991492040068,8
EC/154,17.5,35,52.5,46.2244897959,10.8679744956,0.57743144379,8
EC/171,17.0,34,51.0,46.2244897959,10.8679744956,0.43941124503,7
EC/175,19.5,39,58.5,46.2244897959,10.8679744956,1.12951223883,9
EC/176,19.0,38,57.0,46.2244897959,10.8679744956,0.991492040068,8
EC/181,15.0,30,45.0,46.2244897959,10.8679744956,-0.112669550008,6
EC/185,18.5,37,55.5,46.2244897959,10.8679744956,0.853471841309,8
EC/186,7.5,15,22.5,46.2244897959,10.8679744956,-2.1829725314,0
EE/11,6.0,12,18.0,46.2244897959,10.8679744956,-2.59703312768,0
EE/96,14.5,29,43.5,46.2244897959,10.8679744956,-0.250689748767,6
EL/32,16.0,32,48.0,46.2244897959,10.8679744956,0.163370847511,7
EL/44,13.5,27,40.5,46.2244897959,10.8679744956,-0.526730146286,5
EP/58,17.5,35,52.5,46.2244897959,10.8679744956,0.57743144379,8
EP/64,17.0,34,51.0,46.2244897959,10.8679744956,0.43941124503,7
ME/77,14.5,29,43.5,46.2244897959,10.8679744956,-0.250689748767,6
ME/91,14.0,28,42.0,46.2244897959,10.8679744956,-0.388709947527,6
SE/29,19.0,38,57.0,46.2244897959,10.8679744956,0.991492040068,8
SE/31,12.0,24,36.0,46.2244897959,10.8679744956,-0.940790742565,5
