Roll,Mid,End,Total,Mean,SD,Z,G
Other,7,11,18,45.5,11.8139747757,-2.32775171119,0
CO/03,19,43,62,45.5,11.8139747757,1.39665102671,9
CO/05,17,29,46,45.5,11.8139747757,0.0423227583853,7
CO/06,21,37,58,45.5,11.8139747757,1.05806895963,9
CO/08,21,37,58,45.5,11.8139747757,1.05806895963,9
CO/09,19,27,46,45.5,11.8139747757,0.0423227583853,7
CO/11,14,23,37,45.5,11.8139747757,-0.71948689255,5
CO/13,19,34,53,45.5,11.8139747757,0.634841375779,8
CO/14,13,15,28,45.5,11.8139747757,-1.48129654348,4
CO/16,18,31,49,45.5,11.8139747757,0.296259308697,7
CO/17,19,33,52,45.5,11.8139747757,0.550195859008,8
CO/18,18,36,54,45.5,11.8139747757,0.71948689255,8
CO/21,14,21,35,45.5,11.8139747757,-0.888777926091,5
CO/25,17,25,42,45.5,11.8139747757,-0.296259308697,6
CO/27,16,31,47,45.5,11.8139747757,0.126968275156,7
CO/29,17,25,42,45.5,11.8139747757,-0.296259308697,6
CO/30,10,14,24,45.5,11.8139747757,-1.81987861057,0
CO/31,16,24,40,45.5,11.8139747757,-0.465550342238,6
CO/32,16,29,45,45.5,11.8139747757,-0.0423227583853,6
CO/33,20,37,57,45.5,11.8139747757,0.973423442861,8
CO/34,17,40,57,45.5,11.8139747757,0.973423442861,8
CO/36,17,29,46,45.5,11.8139747757,0.0423227583853,7
CO/37,20,40,60,45.5,11.8139747757,1.22735999317,9
CO/43,18,30,48,45.5,11.8139747757,0.211613791926,7
CO/44,18,38,56,45.5,11.8139747757,0.888777926091,8
CO/45,17,27,44,45.5,11.8139747757,-0.126968275156,6
CO/46,10,13,23,45.5,11.8139747757,-1.90452412734,0
CO/47,17,29,46,45.5,11.8139747757,0.0423227583853,7
CO/48,21,41,62,45.5,11.8139747757,1.39665102671,9
CO/49,15,26,41,45.5,11.8139747757,-0.380904825467,6
CO/50,18,27,45,45.5,11.8139747757,-0.0423227583853,6
CO/53,17,17,34,45.5,11.8139747757,-0.973423442861,5
CO/57,16,21,37,45.5,11.8139747757,-0.71948689255,5
CO/58,18,32,50,45.5,11.8139747757,0.380904825467,7
CO/59,19,34,53,45.5,11.8139747757,0.634841375779,8
CO/61,19,35,54,45.5,11.8139747757,0.71948689255,8
CO/62,13,20,33,45.5,11.8139747757,-1.05806895963,4
CO/63,18,38,56,45.5,11.8139747757,0.888777926091,8
CO/64,11,10,21,45.5,11.8139747757,-2.07381516088,0
CO/66,11,21,32,45.5,11.8139747757,-1.1427144764,4
CO/67,20,44,64,45.5,11.8139747757,1.56594206025,10
CO/68,14,17,31,45.5,11.8139747757,-1.22735999317,4
CO/73,15,25,40,45.5,11.8139747757,-0.465550342238,6
CO/74,16,27,43,45.5,11.8139747757,-0.211613791926,6
CO/75,10,28,38,45.5,11.8139747757,-0.634841375779,5
CO/77,16,34,50,45.5,11.8139747757,0.380904825467,7
CO/78,21,39,60,45.5,11.8139747757,1.22735999317,9
CO/82,13,21,34,45.5,11.8139747757,-0.973423442861,5
CO/83,19,37,56,45.5,11.8139747757,0.888777926091,8
CO/85,18,26,44,45.5,11.8139747757,-0.126968275156,6
CO/86,17,35,52,45.5,11.8139747757,0.550195859008,8
CO/87,11,22,33,45.5,11.8139747757,-1.05806895963,4
CO/88,22,27,49,45.5,11.8139747757,0.296259308697,7
CO/89,21,40,61,45.5,11.8139747757,1.31200550994,9
CO/92,19,26,45,45.5,11.8139747757,-0.0423227583853,6
CO/94,19,39,58,45.5,11.8139747757,1.05806895963,9
CO/96,22,42,64,45.5,11.8139747757,1.56594206025,10
CO/100,5,15,20,45.5,11.8139747757,-2.15846067765,0
CO/102,15,22,37,45.5,11.8139747757,-0.71948689255,5
CO/104,23,40,63,45.5,11.8139747757,1.48129654348,9
CO/108,20,38,58,45.5,11.8139747757,1.05806895963,9
CO/109,15,24,39,45.5,11.8139747757,-0.550195859008,5
CO/110,10,16,26,45.5,11.8139747757,-1.65058757703,0
