Roll,CD_Mid,CD_End
1,8,6
2,18,23
3,28,35
4,18,20
5,12,21
6,27,31
7,10,15
8,23,37
9,17,27
10,21,35
11,11,25
12,8,14
13,19,27
14,15,20
15,24,35
16,25,37
17,18,31
18,18,31
19,19,26
20,9,16
21,15,21
22,24,33
23,17,33
24,25,32
25,19,25
26,26,35
27,3,10
28,28,31
29,15,34
30,3,7
31,16,28
32,19,30
33,22,27
34,19,28
35,23,37
36,13,33
37,24,33
38,18,23
39,11,29
40,22,29
41,18,28
42,22,31
43,12,34
44,24,35
45,24,34
46,11,16
47,21,20
48,15,30
49,13,28
50,21,30
51,24,38
52,20,32
53,10,14
55,25,36
56,26,31
57,7,6
58,22,29
59,23,34
60,27,34
61,26,34
62,6,5
63,27,34
64,17,25
65,26,37
66,16,27
67,24,35
68,19,31
69,26,38
70,23,27
71,18,26
72,9,15
73,12,28
74,22,29
75,14,19
76,28,27
77,25,23
78,26,38
79,12,30
80,21,23
81,22,34
82,20,27
83,24,35
84,12,14
85,20,29
86,25,33
87,16,23
88,23,32
89,23,38
90,24,34
91,19,34
92,21,33
93,22,36
94,25,39
95,15,8
96,27,36
97,15,29
98,19,25
100,16,4
101,16,18
102,23,34
103,20,35
104,22,35
105,24,29
106,12,19
107,3,11
108,16,28
109,17,31
110,17,26
111,23,29
112,26,37
113,23,29
114,21,31
115,23,27
116,17,30
117,14,29
118,24,30
119,19,28
120,24,37
121,19,34
122,17,33
123,25,32
124,14,26
125,24,38
126,22,33
127,26,34
128,22,34
129,19,35
130,24,31
131,7,24
132,23,31
133,27,36
134,17,29
135,22,19
136,18,30
137,27,38
138,25,38
140,22,32
141,25,37
142,19,27
143,9,19
144,24,37
145,24,30
146,25,30
147,4,25
148,24,26
